Region,Soil_Type,Start_Season,Number_of_Seasons,Crop1,Crop2,Crop3,Yield_t_per_ha,Carbon_Sequestration_kg_CO2
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.85,182.42
Maharashtra,Black,Rabi,3,Wheat,Watermelon,Soybean,2.71,261.7
Punjab,Alluvial,Rabi,2,Mustard,Okra,,2.43,201.87
West Bengal,Laterite,Zaid,2,Bottle Gourd,Maize,,3.63,209.42
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,3.13,173.11
Maharashtra,Black,Zaid,2,Watermelon,Soybean,,3.41,228.33
Punjab,Alluvial,Zaid,2,Watermelon,Rice,,3.71,181.52
Maharashtra,Black,Rabi,3,Peas,Watermelon,Maize,2.83,287.59
Punjab,Alluvial,Rabi,3,Chickpea,Watermelon,Maize,2.88,267.87
West Bengal,Laterite,Kharif,3,Cotton,Peas,Bottle Gourd,2.48,256.51
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,1.95,234.75
Tamil Nadu,Red,Zaid,3,Watermelon,Rice,Mustard,3.63,232.02
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.68,261.08
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.28,185.2
Punjab,Alluvial,Kharif,3,Maize,Mustard,Okra,2.76,194.51
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Cucumber,2.53,248.96
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.23,162.83
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.31,272.15
West Bengal,Laterite,Zaid,3,Watermelon,Soybean,Mustard,2.63,246.15
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Cucumber,2.69,287.74
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Maize,Mustard,3.35,230.06
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.13,275.32
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.02,203.43
Maharashtra,Black,Rabi,2,Mustard,Cucumber,,3.37,183.01
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.15,191.1
Maharashtra,Black,Kharif,3,Maize,Mustard,Okra,2.48,202.57
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.34,246.92
Tamil Nadu,Red,Rabi,2,Chickpea,Bottle Gourd,,2.72,243.63
Tamil Nadu,Red,Rabi,2,Barley,Watermelon,,3,179.45
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Rice,2.89,275.83
Rajasthan,Arid Sandy,Rabi,2,Mustard,Okra,,2.52,209.64
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.52,276.3
Punjab,Alluvial,Rabi,3,Barley,Watermelon,Soybean,2.91,258.08
Maharashtra,Black,Rabi,2,Barley,Watermelon,,3.21,175.21
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.77,234.8
Punjab,Alluvial,Zaid,3,Watermelon,Soybean,Mustard,2.5,286.3
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.73,185.42
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Wheat,2.78,214.29
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.37,238.54
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Soybean,Mustard,2.5,280.69
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.85,170.82
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.42,195.93
West Bengal,Laterite,Zaid,2,Bottle Gourd,Soybean,,3.15,226.97
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.79,194.95
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.19,251.34
Maharashtra,Black,Rabi,3,Peas,Watermelon,Rice,3.61,285.45
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Okra,2.58,243.37
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.05,227.38
West Bengal,Laterite,Zaid,3,Watermelon,Rice,Mustard,3.41,218.37
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.43,165.97
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.6,214.95
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Maize,3.14,259.93
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Soybean,2.54,242.62
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Rice,2.76,259.13
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.85,173
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Barley,3.05,210.33
West Bengal,Laterite,Rabi,2,Chickpea,Bottle Gourd,,3.51,253.36
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,3.06,174.91
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,1.66,244.68
Punjab,Alluvial,Zaid,2,Bottle Gourd,Soybean,,3.1,243.4
Punjab,Alluvial,Zaid,3,Bottle Gourd,Groundnut,Mustard,3.19,283.88
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.33,190.66
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Cucumber,3.27,238.68
Punjab,Alluvial,Zaid,3,Watermelon,Maize,Mustard,3.34,221.4
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.68,223.51
Punjab,Alluvial,Kharif,2,Cotton,Barley,,2.06,202.08
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,2.62,197.21
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Watermelon,Maize,3.14,272.82
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Barley,2.58,231.95
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Chickpea,2.47,288.55
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.6,286.4
Maharashtra,Black,Kharif,3,Maize,Mustard,Cucumber,2.73,238.33
Punjab,Alluvial,Rabi,2,Chickpea,Bottle Gourd,,3.06,224.75
Maharashtra,Black,Rabi,3,Barley,Watermelon,Groundnut,3.04,261.02
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.68,232.52
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Okra,2.84,255.82
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.94,243.53
Rajasthan,Arid Sandy,Rabi,3,Barley,Watermelon,Soybean,2.76,283.24
West Bengal,Laterite,Zaid,2,Watermelon,Maize,,3.36,189.16
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,3.76,248.11
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.55,241.14
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2,245.73
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,3.23,222.18
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,2.71,245.76
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.72,198.97
West Bengal,Laterite,Zaid,2,Watermelon,Maize,,3.48,185.57
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Rice,Mustard,3.2,213.01
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.69,200.02
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.08,191.61
Tamil Nadu,Red,Rabi,2,Barley,Bottle Gourd,,3.35,190.89
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Wheat,3.2,195.23
Punjab,Alluvial,Rabi,2,Barley,Watermelon,,3.79,195.08
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,3,227.5
West Bengal,Laterite,Zaid,2,Bottle Gourd,Groundnut,,3.6,232.32
Punjab,Alluvial,Kharif,2,Cotton,Peas,,1.86,223.17
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,2.97,191.08
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.26,235.3
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Cucumber,2.86,275.17
Punjab,Alluvial,Kharif,2,Cotton,Peas,,2.19,242.13
Maharashtra,Black,Kharif,2,Cotton,Wheat,,2.89,178.64
West Bengal,Laterite,Rabi,3,Chickpea,Bottle Gourd,Maize,2.79,250.37
Tamil Nadu,Red,Rabi,3,Barley,Watermelon,Soybean,2.91,257.84
Tamil Nadu,Red,Zaid,2,Watermelon,Soybean,,3.64,240.49
Rajasthan,Arid Sandy,Kharif,3,Rice,Mustard,Okra,3.08,223.22
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.86,201.89
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,2.94,234.34
Rajasthan,Arid Sandy,Rabi,2,Mustard,Okra,,2.36,191.85
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.58,208.46
Punjab,Alluvial,Zaid,2,Watermelon,Groundnut,,3.13,247.31
Rajasthan,Arid Sandy,Rabi,3,Wheat,Bottle Gourd,Soybean,3.47,253.89
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.26,161.98
Maharashtra,Black,Zaid,3,Watermelon,Maize,Mustard,2.85,213.72
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.02,180.18
Tamil Nadu,Red,Rabi,2,Chickpea,Bottle Gourd,,3.25,227.52
Rajasthan,Arid Sandy,Rabi,3,Barley,Watermelon,Groundnut,3.34,245.5
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Okra,2.68,226.75
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Barley,3.01,203.14
Punjab,Alluvial,Rabi,2,Wheat,Bottle Gourd,,4.32,205.96
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.97,208.94
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Maize,3.09,268.63
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.22,178.9
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Soybean,2.59,269.42
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Wheat,2.75,219.16
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.45,280.22
West Bengal,Laterite,Kharif,2,Rice,Mustard,,3,170.31
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,3.5,180.63
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Cucumber,2.53,266.23
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.55,187.4
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.59,253.16
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,2.63,233.71
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,2.79,164.79
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,1.96,269.44
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2.01,247.01
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.27,171.61
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.09,161.38
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.45,171.18
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.12,208.64
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.11,243.96
Tamil Nadu,Red,Kharif,2,Cotton,Barley,,2.15,200.21
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.05,248.69
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.36,210.24
Punjab,Alluvial,Rabi,2,Peas,Watermelon,,2.8,252.35
Tamil Nadu,Red,Rabi,3,Mustard,Cucumber,Cotton,2.68,210.83
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.39,247.96
Rajasthan,Arid Sandy,Rabi,3,Peas,Watermelon,Rice,3.4,274.99
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,3.14,209.41
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.2,224.89
Rajasthan,Arid Sandy,Kharif,2,Cotton,Peas,,1.84,230.54
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,2.86,220.8
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,3.65,207.32
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Cucumber,2.49,250.41
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.29,257.15
Tamil Nadu,Red,Zaid,3,Watermelon,Rice,Mustard,2.92,196.59
Punjab,Alluvial,Rabi,3,Mustard,Cucumber,Cotton,2.31,197.21
West Bengal,Laterite,Zaid,2,Watermelon,Soybean,,2.88,255.86
Maharashtra,Black,Zaid,2,Watermelon,Maize,,3.98,200.33
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.87,259.67
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.7,241.28
West Bengal,Laterite,Kharif,2,Cotton,Barley,,2.07,207.8
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.51,253.61
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.35,170.77
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.51,187.27
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.56,163.7
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Groundnut,,2.69,242.72
West Bengal,Laterite,Zaid,2,Bottle Gourd,Rice,,4.44,206.14
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.97,243.62
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.4,176.46
West Bengal,Laterite,Rabi,2,Wheat,Bottle Gourd,,2.98,163.07
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,3.66,162.94
Tamil Nadu,Red,Rabi,2,Wheat,Watermelon,,3.9,199.13
Punjab,Alluvial,Zaid,3,Bottle Gourd,Maize,Mustard,3.13,238.53
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.79,182.97
Tamil Nadu,Red,Rabi,2,Peas,Bottle Gourd,,3.13,258.49
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.87,267.71
Punjab,Alluvial,Kharif,3,Cotton,Wheat,Watermelon,2.86,202.48
Maharashtra,Black,Kharif,3,Cotton,Wheat,Bottle Gourd,2.9,206.57
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.66,272.8
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.28,163.25
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Chickpea,2.9,269.89
Punjab,Alluvial,Kharif,3,Rice,Mustard,Cucumber,3.53,200.41
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,2.52,242.67
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.66,193.17
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Soybean,3.23,288.05
Maharashtra,Black,Rabi,2,Chickpea,Watermelon,,2.8,210.26
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.35,160.39
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.14,242.98
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.91,224.2
West Bengal,Laterite,Rabi,3,Barley,Bottle Gourd,Soybean,2.89,241.6
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.22,221.41
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,2.96,182.15
Maharashtra,Black,Kharif,2,Rice,Mustard,,2.57,206.8
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,2.62,256.33
Punjab,Alluvial,Kharif,2,Cotton,Wheat,,2.9,195.61
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Okra,3.22,236.49
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Maize,3.28,241.82
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,2.89,259.07
Punjab,Alluvial,Kharif,3,Cotton,Barley,Watermelon,3.05,217.63
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Rice,3.25,276.83
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Soybean,Mustard,2.96,261.46
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,1.69,232.62
Tamil Nadu,Red,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.94,251.13
West Bengal,Laterite,Kharif,3,Groundnut,Mustard,Okra,2.44,249.72
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Soybean,,2.82,251.87
Maharashtra,Black,Rabi,2,Chickpea,Watermelon,,2.94,217.04
Tamil Nadu,Red,Kharif,2,Cotton,Wheat,,2.52,182.72
Maharashtra,Black,Rabi,2,Barley,Watermelon,,3.71,190.02
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Peas,2.77,248.71
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,2.58,228.14
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.21,202.42
Tamil Nadu,Red,Zaid,2,Watermelon,Maize,,2.82,201.41
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,2.16,251.46
Punjab,Alluvial,Rabi,2,Peas,Watermelon,,3.4,255.26
Rajasthan,Arid Sandy,Rabi,2,Peas,Bottle Gourd,,3.37,250.97
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.3,199.01
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.33,162.44
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.36,184.36
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.5,177.08
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.97,174.04
Rajasthan,Arid Sandy,Kharif,3,Cotton,Peas,Bottle Gourd,2.79,284.93
Maharashtra,Black,Kharif,3,Cotton,Barley,Bottle Gourd,2.77,221.38
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.85,174.4
Maharashtra,Black,Rabi,2,Wheat,Watermelon,,3.81,193.88
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.46,272.94
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.97,192.4
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,4.47,167.79
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2.03,232.09
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Maize,Mustard,2.74,196.16
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Maize,,3.45,196.02
West Bengal,Laterite,Rabi,3,Mustard,Cucumber,Cotton,2.69,199.63
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.83,247.62
Punjab,Alluvial,Kharif,2,Cotton,Chickpea,,2.05,235.11
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,3.05,172.89
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Groundnut,,2.96,259.27
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,3.3,203.54
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,2.89,253.29
Maharashtra,Black,Rabi,2,Mustard,Cucumber,,2.45,207.15
Maharashtra,Black,Kharif,3,Cotton,Chickpea,Watermelon,2.98,260.54
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Rice,3.66,275.41
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.1,268.37
Tamil Nadu,Red,Rabi,3,Wheat,Bottle Gourd,Soybean,3.38,283.79
Rajasthan,Arid Sandy,Kharif,2,Cotton,Wheat,,2.6,170.78
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.35,192.84
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.62,209.2
Punjab,Alluvial,Rabi,3,Peas,Watermelon,Rice,3.48,272.77
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.15,194.03
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2.17,244.94
Tamil Nadu,Red,Rabi,2,Peas,Watermelon,,3.3,210.59
Maharashtra,Black,Rabi,2,Mustard,Cucumber,,2.29,209.42
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.96,229.38
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Rice,3.71,274.57
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.95,270.33
Tamil Nadu,Red,Rabi,2,Wheat,Watermelon,,3.56,195.76
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.56,164.68
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,2.58,213.76
West Bengal,Laterite,Zaid,2,Bottle Gourd,Maize,,4.07,188.85
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.8,259.25
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.81,165.15
West Bengal,Laterite,Zaid,2,Watermelon,Soybean,,3,212.5
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,3.18,224.09
Punjab,Alluvial,Rabi,3,Chickpea,Watermelon,Rice,3.42,284.43
Punjab,Alluvial,Rabi,2,Peas,Bottle Gourd,,2.51,235.8
Rajasthan,Arid Sandy,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.15,276.79
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.23,195.97
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,3.27,163.35
Tamil Nadu,Red,Rabi,3,Peas,Bottle Gourd,Maize,3.35,268.93
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.97,164.71
Rajasthan,Arid Sandy,Rabi,2,Wheat,Watermelon,,3.35,181.27
West Bengal,Laterite,Rabi,2,Wheat,Bottle Gourd,,3.54,177.05
Maharashtra,Black,Rabi,2,Peas,Watermelon,,3.1,242.37
Tamil Nadu,Red,Rabi,2,Barley,Bottle Gourd,,2.71,185.89
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.52,169.52
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.55,257.51
Punjab,Alluvial,Kharif,3,Maize,Mustard,Okra,2.75,209.5
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,3.48,212.4
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Rice,3.44,274.59
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.57,239.13
Rajasthan,Arid Sandy,Kharif,3,Cotton,Chickpea,Watermelon,2.83,254.8
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.47,287.25
Maharashtra,Black,Kharif,2,Cotton,Barley,,2.74,182.93
Tamil Nadu,Red,Zaid,3,Watermelon,Maize,Mustard,2.44,222.03
Punjab,Alluvial,Kharif,3,Rice,Mustard,Okra,2.92,210.95
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.84,203.18
Maharashtra,Black,Kharif,3,Cotton,Barley,Watermelon,2.57,204.18
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.78,185.27
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Barley,2.66,237.49
Maharashtra,Black,Zaid,3,Watermelon,Soybean,Mustard,2.72,256.65
West Bengal,Laterite,Kharif,3,Maize,Mustard,Okra,2.53,223.77
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,2.85,194.3
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Barley,2.85,200.15
Tamil Nadu,Red,Rabi,2,Peas,Bottle Gourd,,2.62,212.91
Punjab,Alluvial,Zaid,3,Bottle Gourd,Rice,Mustard,3.3,216.34
Maharashtra,Black,Rabi,3,Wheat,Watermelon,Soybean,2.97,242.47
Tamil Nadu,Red,Zaid,2,Watermelon,Groundnut,,3.19,230.87
Maharashtra,Black,Zaid,2,Bottle Gourd,Maize,,4.07,181.45
Punjab,Alluvial,Rabi,3,Peas,Watermelon,Maize,3.65,251.01
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.31,250.14
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.22,183.72
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Rice,Mustard,3.41,194.91
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Okra,2.61,279.12
Maharashtra,Black,Rabi,3,Peas,Watermelon,Rice,3.43,259.85
Rajasthan,Arid Sandy,Rabi,2,Mustard,Okra,,2.54,172.09
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Rice,3.83,259.01
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.03,205.92
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Cucumber,3.18,237.67
Maharashtra,Black,Zaid,3,Watermelon,Soybean,Mustard,2.71,282.08
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Rice,Mustard,3.08,203.09
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.17,212.49
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.82,191.68
Punjab,Alluvial,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.44,273.08
West Bengal,Laterite,Rabi,2,Mustard,Okra,,2.08,190.24
Punjab,Alluvial,Zaid,2,Watermelon,Maize,,3.87,207.61
Maharashtra,Black,Kharif,2,Cotton,Barley,,2.66,181.17
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Chickpea,3.04,241.24
Tamil Nadu,Red,Rabi,2,Barley,Watermelon,,3.52,189.88
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Chickpea,2.67,272.3
Tamil Nadu,Red,Rabi,2,Barley,Watermelon,,3.21,192.77
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Peas,2.73,282.81
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,3.19,222.02
Punjab,Alluvial,Zaid,3,Watermelon,Soybean,Mustard,2.24,252.19
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.98,181.53
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.76,242.98
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.08,160.41
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Okra,2.92,214.5
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Wheat,2.92,196.89
West Bengal,Laterite,Rabi,2,Barley,Bottle Gourd,,3.53,191.8
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.23,204.24
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,3.22,161.46
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.52,235.31
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.13,237.7
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Groundnut,2.85,270.18
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,2.66,206.16
Tamil Nadu,Red,Rabi,3,Mustard,Cucumber,Cotton,2.58,217.19
Rajasthan,Arid Sandy,Rabi,3,Wheat,Bottle Gourd,Soybean,3.23,261.16
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.72,288.79
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.2,190.18
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.56,184.7
Punjab,Alluvial,Rabi,3,Wheat,Watermelon,Soybean,3.06,276.18
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.12,198.77
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.15,174.59
Maharashtra,Black,Kharif,2,Cotton,Barley,,2.19,202.95
Punjab,Alluvial,Kharif,3,Maize,Mustard,Cucumber,2.99,220.32
Punjab,Alluvial,Kharif,3,Cotton,Wheat,Watermelon,2.7,232.54
Punjab,Alluvial,Kharif,2,Groundnut,Mustard,,2.11,215.36
